Restaurant_Name,Cuisine1,Cuisine2,Cuisine3,Cuisine4,Cuisine5,Cuisine6,Cuisine7,Cuisine8,Category,Pricing_for_2,Locality in Pune,Dining_Rating
Santè Spa Cuisine,European,Healthy Food,Mediterranean,MISSING,MISSING,MISSING,MISSING,MISSING,"Continental, Healthy Food, Mediterranean",1200, Koregaon Park,4.9
Le Plaisir,Coffee and Tea,European,European,Healthy Food,Sandwich,Other Indian,Beverages,MISSING,"Cafe, Italian, Continental, Salad, Sandwich, Pizza, Beverages",1000, Deccan Gymkhana,4.9
Gong,East Asian,East Asian,Asian (unspecified),Himalayan,Beverages,MISSING,MISSING,MISSING,"Chinese, Sushi, Asian, Momos, Beverages",1700, Baner,4.9
The French Window Patisserie,Coffee and Tea,Desserts,European,Bakery,European,MISSING,MISSING,MISSING,"Cafe, Desserts, French, Bakery, European",600, Koregaon Park,4.9
Savya Rasa,South Indian,South Indian,South Indian,South Indian,Beverages,MISSING,MISSING,MISSING,"South Indian, Mangalorean, Kerala, Chettinad, Beverages",2100, Koregaon Park,4.9
Le Flamington,Coffee and Tea,European,Fast Food,Bakery,Desserts,MISSING,MISSING,MISSING,"Cafe, European, Fast Food, Bakery, Desserts",600,Kalyani Nagar,4.9
Pagdandi Books Chai Cafe,Coffee and Tea,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Cafe, Fast Food, Beverages",400, Baner,4.9
Paasha - JW Marriott Pune,North Indian,Kebab,Desserts,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Kebab, Desserts",2500, Senapati Bapat Road,4.8
Cafe Paashh,Coffee and Tea,European,Indian (other),Desserts,Beverages,MISSING,MISSING,MISSING,"Cafe, European, Modern Indian, Desserts, Beverages",1500,Kalyani Nagar,4.8
Boteco - Restaurante Brasileiro,The Americas,Steak,The Americas,Beverages,MISSING,MISSING,MISSING,MISSING,"Brazilian, Steak, South American, Beverages",2300, Koregaon Park,4.8
Level 5 Bistro and Bar,North Indian,Asian (unspecified),Healthy Food,Beverages,MISSING,MISSING,MISSING,MISSING,"North Indian, Asian, Salad, Beverages",1600, Erandwane,4.8
Vohuman Cafe,Street Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Street Food, Beverages",200,Dhole Patil Road,4.8
Andaground,Fast Food,Street Food,North Indian,Beverages,MISSING,MISSING,MISSING,MISSING,"Fast Food, Street Food, North Indian, Beverages",600, Aundh,4.8
Cafe Goa,North Indian,Seafood,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Goan, Seafood",1100, Viman Nagar,4.8
Malaka Spice,Southeast Asian,East Asian,Asian (unspecified),MISSING,MISSING,MISSING,MISSING,MISSING,"Thai, Japanese, Asian",1500, Koregaon Park,4.7
AB's - Absolute Barbecues,North Indian,BBQ,Fast Food,Desserts,MISSING,MISSING,MISSING,MISSING,"North Indian, BBQ, Fast Food, Desserts",1200,Hinjawadi,4.7
Turque - Sayaji Hotel,Asian (unspecified),Indian (other),North Indian,Healthy Food,MISSING,MISSING,MISSING,MISSING,"Asian, Mughlai, North Indian, Salad",1700, Wakad,4.7
Effingut,North Indian,European,Oriental,Finger Food,Fast Food,Beverages,MISSING,MISSING,"North Indian, Continental, Oriental, Finger Food, Fast Food, Beverages",2000, Koregaon Park,4.7
Le Petit Amour Patisserie & Bistro,Coffee and Tea,European,European,Desserts,Healthy Food,Beverages,Coffee,MISSING,"Cafe, French, European, Desserts, Salad, Beverages, Coffee",800, Kothrud,4.7
Pune Baking Company - JW Marriott Pune,Coffee and Tea,Sandwich,Beverages,Desserts,MISSING,MISSING,MISSING,MISSING,"Cafe, Sandwich, Beverages, Desserts",700, Senapati Bapat Road,4.7
Shiv Kailash,Indian (other),Ice Cream,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Mithai, Ice Cream, Beverages",300, Camp Area,4.7
L'Apicio,Coffee and Tea,European,Mediterranean,European,Desserts,MISSING,MISSING,MISSING,"Cafe, European, Mediterranean, Continental, Desserts",1000, Aundh,4.7
Shahji's Parantha House,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,North Indian,500, Rasta Peth,4.7
Chitale Bandhu Mithaiwale,Indian (other),Street Food,Ice Cream,Desserts,MISSING,MISSING,MISSING,MISSING,"Mithai, Street Food, Ice Cream, Desserts",300, Deccan Gymkhana,4.7
